player,team,competition_name,season_name,50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution
Deanna Cooper,Chelsea FCW,FA Women's Super League,2018/2019,0.0,0.0,139.0,11.0,0.0,150.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,6.0,0.0,1.0,0.0
Deanna Cooper,Chelsea FCW,FA Women's Super League,2019/2020,0.0,0.0,15.0,0.0,0.0,15.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,0.0
Deanna Cooper,Reading WFC,FA Women's Super League,2020/2021,0.0,1.0,696.0,87.0,51.0,689.0,160.0,6.0,9.0,22.0,50.0,1.0,14.0,13.0,0.0,10.0,26.0,5.0,0.0,0.0,0.0,923.0,5.0,5.0,181.0,0.0,6.0,1.0
Deanne Cynthia Rose,Canada Women's,Women's World Cup,2019,1.0,0.0,12.0,3.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Deanne Cynthia Rose,Canada Women's,Women's World Cup,2023,0.0,0.0,36.0,3.0,0.0,20.0,0.0,2.0,3.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,18.0,0.0,1.0,1.0
Deborah Ajibola Abiodun,Nigeria Women's,Women's World Cup,2023,1.0,0.0,29.0,6.0,4.0,30.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,0.0,0.0,33.0,0.0,1.0,0.0
Delphine Cascarino,France Women's,UEFA Women's Euro,2022,0.0,0.0,233.0,29.0,8.0,218.0,0.0,9.0,34.0,3.0,11.0,0.0,3.0,5.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,197.0,1.0,1.0,52.0,1.0,11.0,3.0
Delphine Cascarino,France Women's,UEFA Women's Euro,2025,0.0,0.0,84.0,14.0,0.0,71.0,0.0,6.0,7.0,2.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,61.0,0.0,0.0,45.0,0.0,8.0,3.0
Delphine Cascarino,France Women's,Women's World Cup,2019,0.0,0.0,117.0,10.0,6.0,100.0,0.0,6.0,21.0,3.0,4.0,0.0,2.0,2.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,79.0,0.0,0.0,31.0,0.0,4.0,2.0
Demi Stokes,England Women's,Women's World Cup,2019,0.0,0.0,112.0,12.0,7.0,115.0,6.0,5.0,2.0,2.0,11.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,157.0,0.0,0.0,53.0,0.0,0.0,0.0
